date,customer_name,amount,bank_name,receipt_no,invoice_no,bill_date,bill_amount,payment_mode,team_id
"2025-04-15","JAGANNATH RULDU RAM",16701.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-05-05","MAA ANNAPURNA DEPT. - RING ROAD",16387.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-05","BROTHERS ENTERPRISES - DISPENSARY R",25244.0,"","","","",,"Cash",MA
"2025-04-05","JAIN DAIRY & STORE - EKTA VIHAR",359.0,"","","","",,"Cash",MA
"2025-04-08","GRAH SANGRAH STORE - FUWARA CHOWK",23937.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-05","H K AGGARWAL - DEHRAKHAS",5118.0,"HDFC A/C","","","",,"Bank Transfer",MA
"2025-04-05","OM BANGLE & COSMETIC - DEHRA KHAS",697.0,"HDFC A/C","","","",,"Bank Transfer",MA
"2025-04-05","OM SAI COSMETICS - CLEMENT TOWN",1000.0,"HDFC A/C","","","",,"Bank Transfer",MA
"2025-04-05","CHAWLA TRADERS - SAHARANPUR",161050.0,"HDFC A/C","","","",,"Bank Transfer",MA
"2025-04-06","DATA KIRANA BHANDAR - DAKRA",2483.0,"HDFC A/C","","","",,"Bank Transfer",MA
"2025-04-07","CHIMSEE GENERAL STORE - CHANDAN",300.0,"","","","",,"Cash",MA
"2025-04-07","GRACE BEAUTY COLL - RACE COURSE",500.0,"","","","",,"Cash",MA
"2025-04-07","JIYA MEDICOSE - CHANDAN NAGAR",445.0,"","","","",,"Cash",MA
"2025-04-07","OM SHIVSHAKTI CHEM - TYAGI ROAD",307.0,"","","","",,"Cash",MA
"2025-04-07","PANDEY COSMETICS HUB - DALANWALA",500.0,"","","","",,"Cash",MA
"2025-04-07","PRINCE STORE - TYAGI ROAD",300.0,"","","","",,"Cash",MA
"2025-04-07","PRO MEDS PHARMACY - DOON HOSPITAL",810.0,"","","","",,"Cash",MA
"2025-04-07","SIDDHI STORE - TYAGI ROAD",208.0,"","","","",,"Cash",MA
"2025-04-07","ANKIT GEN STORE - DHARAMPUR",2000.0,"","","","",,"Cash",MA
"2025-04-07","BALRAJ STORE - RACE COURSE",500.0,"","","","",,"Cash",MA
"2025-04-07","DWARIKA STORE - EC ROAD",410.0,"","","","",,"Cash",MA
"2025-04-07","NAWANI GEN STORE - LIC BUILDING",500.0,"","","","",,"Cash",MA
"2025-04-07","PEARL & BAKERY - MOHINI ROAD",253.0,"","","","",,"Cash",MA
"2025-04-07","PURNIMA COLLECTION - DHARAMPUR",500.0,"","","","",,"Cash",MA
"2025-04-07","R K STORE - RACE COURSE",3489.0,"","","","",,"Cash",MA
"2025-04-07","THE CITY PHARMACY - DWARIKA CHOWK",200.0,"","","","",,"Cash",MA
"2025-04-08","DANDRIYAL PHARMACY - RING ROAD",584.0,"","","","",,"Cash",MA
"2025-04-08","OLD DOON BASKET - NEHRUGRAM",2113.0,"","","","",,"Cash",MA
"2025-04-08","GARHWAL MEDICAL - RING ROAD",721.0,"","","","",,"Cash",MA
"2025-04-08","JAGDAMBA MEDICOS - DANDA DHARAMPUR",458.0,"","","","",,"Cash",MA
"2025-04-08","M S MEDICAL HALL - DOBHAL CHOWK",500.0,"","","","",,"Cash",MA
"2025-04-08","SHIV MEDICAL - RING ROAD",350.0,"","","","",,"Cash",MA
"2025-04-08","VEGA SUPER STORE - RING ROAD",501.0,"","","","",,"Cash",MA
"2025-04-12","SAHARANPUR TRADERS UR",3000.0,"","","","",,"Cash",MA
"2025-04-12","DEV BHOOMI PHAR - BALLIWALA CHOWK",1000.0,"","","","",,"Cash",MA
