name,billing_name,print_name,sku,category,brand,unit_price,pack_size,status,stock_qty,gst_rate,unit,step_size,team_id
"KAI WINE STOPPER","KAI WINE STOPPER","KAI WINE STOPPER","","KAI","KAI",279.66,"PCS",available,3,18,pcs,1,JA
"KAI WINE OPENER","KAI WINE OPENER","KAI WINE OPENER","","KAI","KAI",591.1,"PCS",available,5,18,pcs,1,JA
"KAI WINE SHAMPNGNE STOPPE","KAI WINE SHAMPNGNE STOPPE","KAI WINE SHAMPNGNE STOPPE","","KAI","KAI",241.53,"PCS",outOfStock,0,18,pcs,1,JA
"BK VITAMIN C KIT BIG","BK VITAMIN C KIT BIG","VITAMIN C KIT BIG","","AROMA MAGIC","AROMA MAGIC",3954.8,"PKOF10",available,6,18,pcs,1,JA
"SHOT N DARK COCOA 120ML","SHOT N DARK COCOA 120ML","SHOT N DARK COCOA 120ML","","LAYER","LAYER",187.57,"120ML",available,1,18,pcs,1,JA
"SHOT N EMPEROR 120ML","SHOT N EMPEROR 120ML","SHOT N EMPEROR 120ML","","LAYER","LAYER",187.57,"120ML",available,2,18,pcs,1,JA
"SHOT N GLADIATOR 120ML","SHOT N GLADIATOR 120ML","SHOT N GLADIATOR 120ML","","LAYER","LAYER",187.57,"120ML",outOfStock,0,18,pcs,1,JA
"SHOT N LEONARDO 120ML","SHOT N LEONARDO 120ML","SHOT N LEONARDO 120ML","","LAYER","LAYER",187.57,"120ML",outOfStock,0,18,pcs,1,JA
"SHOT N ROCKSTAR 120ML","SHOT N ROCKSTAR 120ML","SHOT N ROCKSTAR 120ML","","LAYER","LAYER",187.57,"120ML",available,1,18,pcs,1,JA
"SHOT N STALLION 120ML","SHOT N STALLION 120ML","SHOT N STALLION 120ML","","LAYER","LAYER",187.57,"120ML",outOfStock,0,18,pcs,1,JA
"SHOT N THUNDER 120ML","SHOT N THUNDER 120ML","SHOT N THUNDER 120ML","","LAYER","LAYER",187.57,"120ML",outOfStock,0,18,pcs,1,JA
"BY M.OATS TANGY TOMA 40GM","BY M.OATS TANGY TOMA 40GM","BY M.OATS TANGY TOMA 40GM","","BAGRRY","BAGRRY",14.08,"40GM",outOfStock,0,5,pcs,1,JA
"FACIAL CLEANSING BRUSH","FACIAL CLEANSING BRUSH","FACIAL CLEANSING BRUSH","","GUBB","GUBB",238.35,"PCS",available,2,18,pcs,1,JA
"FACIAL MASSAGER WITH USB","FACIAL MASSAGER WITH USB","FACIAL MASSAGER WITH USB","","GUBB","GUBB",492.6,"PCS",available,1,18,pcs,1,JA
"SILICON MULTI PURP BRUSH","SILICON MULTI PURP BRUSH","SILICON MULTI PURP BRUSH","","GUBB","GUBB",241.53,"PCS",available,6,18,pcs,1,JA
"BEAUTY BLENDING MINI","BEAUTY BLENDING MINI","BEAUTY BLENDING MINI","","GUBB","GUBB",206.57,"PCS",available,7,18,pcs,1,JA
"NAIL FOOT BRUSH BLISTER","NAIL FOOT BRUSH BLISTER","NAIL FOOT BRUSH BLISTER","","GUBB","GUBB",18.43,"PCS",outOfStock,0,18,pcs,1,JA
"COTTON BUDS BLISTER 100S","COTTON BUDS BLISTER 100S","GUBB COTTON BUDS BLISTER 100S","","GUBB","GUBB",39.29,"PCS",available,138,5,pcs,1,JA
"SANTO GROOMING COMBO","SANTO GROOMING COMBO","SANTO GROOMING COMBO","","GUBB","GUBB",168.44,"PCS",available,6,18,pcs,1,JA
"KAI RAZOR KAMISORI CATR2P","KAI RAZOR KAMISORI CATR2P","KAMISORI CATRIDGE 2PCS","","KAI","KAI",82.63,"2PCINBOX",available,9,18,pcs,1,JA
"KAI RAZOR KAMISORI CATR4P","KAI RAZOR KAMISORI CATR4P","KAI RAZOR KAMISORI CATR4P","","KAI","KAI",133.47,"4PCINBOX",available,12,18,pcs,1,JA
"KAI RAZOR BESTY 2 BLADE","KAI RAZOR BESTY 2 BLADE","KAI RAZOR BESTY 2 BLADE","","KAI","KAI",12.71,"PCS",available,444,18,pcs,1,JA
"KAI C PROFESSIONAL TAIL","KAI C PROFESSIONAL TAIL","KAI C PROFESSIONAL TAIL","","KAI","KAI",85,"PCS",outOfStock,0,5,pcs,1,JA
"SAMPLE 20ML","SAMPLE 20ML","SAMPLE 20ML","","LAYER","LAYER",67.04,"20ML",outOfStock,0,18,pcs,1,JA
"3D BODY MASSAGER","3D BODY MASSAGER","3D BODY MASSAGER","","GUBB","GUBB",1246.46,"PCS",outOfStock,0,5,pcs,1,JA
